stimulus,translation_ru,stimulus_source,s_1,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9
tsʲetradzʲ,тетрадь,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
ts'iq'u,иней,native,b,b,r,b,b,b,b,b,b,b,b,b,b,b,b,b
ts'ul,палка,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
ts'umur,вилка,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
ʃu,могила,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
ɡurdo,рубашка,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
vaɡon,вагон,loan,b,b,r,b,r,r,r,r,b,b,b,b,b,r,r,b
za,кулак,native,r,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
zar,лед,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
zarʲadka,зарядка,loan,b,b,r,b,b,b,b,b,b,b,b,b,b,b,b,b
zatʃetka,зачетка,loan,b,r,r,r,b,r,r,b,b,b,r,r,r,r,b,r
zaʒiɡalka,зажигалка,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
χur,"поле, огород",native,r,r,r,b,b,b,r,r,r,r,r,b,r,r,r,r
